External_ID,Name,Account_r.Account__c,Apt_Location__r.Apt_Location__c,Rent__c,Occupied__c,Bedrooms__c,Amenities__c,Available_Date__c,CreatedDate,LastModifiedDate
a03oB000000G3htQAC,TestApartment,,,,FALSE,2,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3huQAC,Unit 1000 - Financial District,001oB00000JcVz7QAF,a00oB000000mSNDQA2,2800,TRUE,1,,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3hvQAC,Unit 1001 - Sellwood,,a00oB000000mSNQQA2,2550,FALSE,2,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3hwQAC,Unit 1002 - West Seattle,001oB00000JcW2LQAV,a00oB000000mSNmQAM,3250,TRUE,2,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3hxQAC,Unit 1003 - Financial District,,a00oB000000mSNDQA2,3400,FALSE,1,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3hyQAC,Unit 1004 - Foster-Powell,001oB00000JcW0sQAF,a00oB000000mSNWQA2,3200,TRUE,3,,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3hzQAC,Unit 1005 - University District,,a00oB000000mSNdQAM,3050,FALSE,2,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3i0QAC,Unit 1006 - Financial District,001oB00000JcVzAQAV,a00oB000000mSNDQA2,3150,TRUE,1,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3i1QAC,Unit 1007 - Mississippi Avenue,,a00oB000000mSNNQA2,3800,FALSE,3,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3i2QAC,Unit 1008 - Madison Park,001oB00000JcW5XQAV,a00oB000000mSNjQAM,2900,TRUE,2,,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3i3QAC,Unit 1009 - Financial District,,a00oB000000mSNDQA2,2950,FALSE,1,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3i4QAC,Unit 1010 - Irvington,001oB00000JcW0mQAF,a00oB000000mSNTQA2,2150,TRUE,1,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3i5QAC,Unit 1011 - Ballard,,a00oB000000mSNaQAM,3500,FALSE,2,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3i6QAC,Unit 1012 - Financial District,001oB00000JcVzDQAV,a00oB000000mSNDQA2,3600,TRUE,2,,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3i7QAC,Unit 1013 - Alberta Arts District,,a00oB000000mSNKQA2,1950,FALSE,1,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3i8QAC,Unit 1014 - Belltown,001oB00000JcW5UQAV,a00oB000000mSNgQAM,4150,TRUE,3,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3i9QAC,Unit 1015 - Financial District,,a00oB000000mSNDQA2,4200,FALSE,2,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3iAQAS,Unit 1017 - West Seattle,,a00oB000000mSNmQAM,3950,FALSE,3,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3iBQAS,Unit 1018 - Financial District,001oB00000JcVzGQAV,a00oB000000mSNDQA2,3950,TRUE,2,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3iCQAS,Unit 1019 - Foster-Powell,,a00oB000000mSNWQA2,2400,FALSE,1,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3iDQAS,Unit 1020 - University District,001oB00000JcW5RQAV,a00oB000000mSNdQAM,2200,TRUE,1,,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3iEQAS,Unit 1021 - Financial District,,a00oB000000mSNDQA2,3750,FALSE,2,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3iFQAS,Unit 1022 - Mississippi Avenue,001oB00000JcW1JQAV,a00oB000000mSNNQA2,2750,TRUE,2,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3iGQAS,Unit 1023 - Madison Park,,a00oB000000mSNjQAM,2800,FALSE,1,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3iHQAS,Unit 1024 - Financial District,001oB00000JcVzJQAV,a00oB000000mSNDQA2,4800,TRUE,3,,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3iIQAS,Unit 1025 - Irvington,,a00oB000000mSNTQA2,2550,FALSE,2,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3iJQAS,Unit 1026 - Ballard,001oB00000JcW5OQAV,a00oB000000mSNaQAM,2550,TRUE,1,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3iKQAS,Unit 1027 - Financial District,,a00oB000000mSNDQA2,5400,FALSE,3,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3iLQAS,Unit 1028 - Alberta Arts District,001oB00000JcVzfQAF,a00oB000000mSNKQA2,2400,TRUE,2,,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3iMQAS,Unit 1029 - Belltown,,a00oB000000mSNgQAM,2350,FALSE,1,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3iNQAS,Unit 1030 - Financial District,001oB00000JcVzMQAV,a00oB000000mSNDQA2,3150,TRUE,1,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3iOQAS,Unit 1031 - Sellwood,,a00oB000000mSNQQA2,3000,FALSE,2,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3iPQAS,Unit 1032 - West Seattle,001oB00000JcW5LQAV,a00oB000000mSNmQAM,2900,TRUE,2,,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3iQQAS,Unit 1033 - Financial District,,a00oB000000mSNDQA2,2950,FALSE,1,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3iRQAS,Unit 1034 - Foster-Powell,001oB00000JcVzrQAF,a00oB000000mSNWQA2,3550,TRUE,3,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3iSQAS,Unit 1035 - University District,,a00oB000000mSNdQAM,3500,FALSE,2,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3iTQAS,Unit 1036 - Financial District,001oB00000JcVzPQAV,a00oB000000mSNDQA2,2800,TRUE,1,,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3iUQAS,Unit 1037 - Mississippi Avenue,,a00oB000000mSNNQA2,3350,FALSE,3,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3iVQAS,Unit 1038 - Madison Park,001oB00000JcW5IQAV,a00oB000000mSNjQAM,3250,TRUE,2,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3iWQAS,Unit 1039 - Financial District,,a00oB000000mSNDQA2,3400,FALSE,1,Patio;Washer/Dryer;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3iXQAS,Unit 1040 - Irvington,001oB00000JcW1MQAV,a00oB000000mSNTQA2,1800,TRUE,1,,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3iYQAS,Unit 1041 - Ballard,,a00oB000000mSNaQAM,3050,FALSE,2,Washer/Dryer,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
a03oB000000G3iZQAS,Unit 1042 - Financial District,001oB00000JcVzSQAV,a00oB000000mSNDQA2,3950,TRUE,2,Hardwood Floors;Fitness Center,,2026-02-20T20:35:10.000+0000,2026-02-20T20:35:10.000+0000
